App	GitHub URL	Docker Image(s)	Status	Remark	Type
AgentGPT	https://github.com/reworkd/AgentGPT	hoomzoom/agentgpt-frontend, hoomzoom/agentgpt-platform	success	Next.js + FastAPI + MySQL compose. Needs API key for chat.	server
agenticSeek	https://github.com/Fosowl/agenticSeek	hoomzoom/agenticseek-backend, hoomzoom/agenticseek-frontend	success	React + FastAPI compose.	server
attackgen	https://github.com/mrwadams/attackgen	hoomzoom/attackgen	success	Streamlit app.	server
auto-news	https://github.com/finaldie/auto-news	finaldie/auto-news:0.9.15	success	Airflow compose (9 containers). External image used as-is.	server
BettaFish	https://github.com/666ghj/BettaFish	hoomzoom/bettafish	success	Flask + PostgreSQL compose.	server
bilingual_book_maker	https://github.com/yihong0618/bilingual_book_maker	hoomzoom/bilingual_book_maker	success	CLI tool.	cli
Biomni	https://github.com/bowang-lab/Biomni	hoomzoom/biomni	success	Gradio app.	server
ChatDBG	https://github.com/plasma-umass/ChatDBG	hoomzoom/chatdbg	success	CLI debugger.	cli
chemcrow-public	https://github.com/ur-whitelab/chemcrow-public	hoomzoom/chemcrow	success	Library.	cli
codeinterpreter-api	https://github.com/shroominic/codeinterpreter-api	hoomzoom/codeinterpreter-api	success	Library.	cli
codeqai	https://github.com/fynnfluegge/codeqai	hoomzoom/codeqai	success	Streamlit app.	server
Data-Copilot	https://github.com/zwq2018/Data-Copilot	hoomzoom/data-copilot	success	Gradio app. Conditional pass (needs Tushare token).	server
DataFlow	https://github.com/OpenDCAI/DataFlow	hoomzoom/dataflow	success	Gradio app. Requires GPU with CUDA 12.4+.	server
devika	https://github.com/stitionai/devika	hoomzoom/devika-backend, hoomzoom/devika-frontend	success	Svelte + Flask compose.	server
django-ai-assistant	https://github.com/vintasoftware/django-ai-assistant	hoomzoom/django-ai-assistant	success	Django + React.	server
FunClip	https://github.com/modelscope/FunClip	hoomzoom/funclip	success	Gradio app. Downloads 1.2GB models on first start.	server
gpt-engineer	https://github.com/AntonOsika/gpt-engineer	hoomzoom/gpt-engineer	success	CLI tool.	cli
gpt-migrate	https://github.com/joshpxyne/gpt-migrate	hoomzoom/gpt-migrate	success	CLI tool.	cli
gpt-researcher	https://github.com/assafelovic/gpt-researcher	hoomzoom/gpt-researcher	success	FastAPI + Web UI.	server
gpt_academic	https://github.com/binary-husky/gpt_academic	hoomzoom/gpt_academic	success	Gradio app.	server
gptme	https://github.com/ErikBjare/gptme	hoomzoom/gptme-server	success	Flask app.	server
HuixiangDou	https://github.com/InternLM/HuixiangDou	hoomzoom/huixiangdou	success	Gradio + FastAPI. Complex era-matched deps.	server
Integuru	https://github.com/Integuru-AI/Integuru	hoomzoom/integuru	success	CLI tool. Poetry-based.	cli
local-deep-researcher	https://github.com/langchain-ai/local-deep-researcher	hoomzoom/local-deep-researcher	success	LangGraph API.	server
localGPT	https://github.com/PromtEngineer/localGPT	hoomzoom/localgpt-backend, hoomzoom/localgpt-frontend, hoomzoom/localgpt-rag-api	success	React + FastAPI compose (3 images).	server
magentic-ui	https://github.com/microsoft/magentic-one	hoomzoom/magentic-ui	success	FastAPI + Web UI.	server
manga-image-translator	https://github.com/zyddnys/manga-image-translator	hoomzoom/manga-image-translator	success	Web API. Conditional pass (full translation needs GPU).	server
NarratoAI	https://github.com/linyqh/NarratoAI	hoomzoom/narratoai	success	Streamlit app.	server
omniparse	https://github.com/adithya-s-k/omniparse	hoomzoom/omniparse	success	FastAPI + Gradio.	server
Paper2Poster	https://github.com/Paper2Poster/Paper2Poster	hoomzoom/paper2poster	success	CLI tool.	cli
pdfGPT	https://github.com/bhaskatripathi/pdfGPT	hoomzoom/pdfgpt-frontend, hoomzoom/pdfgpt-backend	success	Gradio + langchain-serve compose (4 images).	server
pycorrector	https://github.com/shibing624/pycorrector	hoomzoom/pycorrector	success	Gradio app.	server
pyvideotrans	https://github.com/jianchang512/pyvideotrans	hoomzoom/pyvideotrans	success	CLI tool.	cli
